id|course_id|grade
27|6|8
27|6|6
27|6|9.5
27|3|11.5
27|3|16
27|3|16.5
27|9|5
27|9|4
27|9|5
27|9|7
27|1|10.7
27|1|9.7
27|1|17.3
27|1|15.2
27|1|16
27|1|13.3
27|1|15.9
27|1|13.9
27|1|14.3
27|8|5
27|8|10
27|8|9
27|8|6.5
27|2|11
27|2|14.5
27|2|13
27|2|13.25
27|2|13
27|2|10.75
27|5|13.8
27|5|10.1
27|5|14.1
27|5|14.7
27|10|6.6
27|10|$
27|10|6.1
27|10|9
27|10|9.4
27|10|8.7
27|10|5.5
27|10|9.5
27|10|7.5
27|7|9.5
27|7|9
27|7|12.5
27|4|14
27|4|13
27|4|13.5
27|4|12.5
27|4|12.5
31|6|7
31|6|8.5
31|6|11
31|3|12
31|3|10.5
31|3|13.5
31|9|9
31|9|11
31|9|10.5
31|9|11
31|1|17.2
31|1|9.4
31|1|15.2
31|1|14.7
31|1|9.3
31|1|14.2
31|1|12.7
31|1|11.6
31|1|12
31|8|11.5
31|8|10.5
31|8|6
31|8|12
31|2|14
31|2|10.5
31|2|12
31|2|12.25
31|2|10.5
31|2|11.25
31|5|14.8
31|5|15.1
31|5|13.2
31|5|17.6
31|10|10.4
31|10|8.7
31|10|11
31|10|10
31|10|4.4
31|10|9.2
31|10|13.5
31|10|8.5
31|10|7.4
31|7|11
31|7|9.5
31|7|8
31|4|14
31|4|12.5
31|4|11.5
31|4|13.5
31|4|12
48|6|7.5
48|6|8
48|6|7
48|3|14
48|3|13
48|3|11.5
48|9|8.5
48|9|9
48|9|5
48|9|8.5
48|1|14.4
48|1|9.4
48|1|9.3
48|1|14.6
48|1|11
48|1|16.5
48|1|12.8
48|1|10.8
48|1|16.8
48|8|11
48|8|11.5
48|8|11.5
48|8|10.5
48|2|12
48|2|14
48|2|13.5
48|2|11.75
48|2|13
48|2|15.75
48|5|14.6
48|5|15.5
48|5|15.7
48|5|16.4
48|10|6.6
48|10|6.8
48|10|5.9
48|10|9.8
48|10|8.1
48|10|7.7
48|10|5.4
48|10|13.5
48|10|8.1
48|7|$
48|7|11.5
48|7|11.5
48|4|12.5
48|4|15
48|4|13
48|4|13
48|4|15.5
57|6|7.5
57|6|9
57|6|7.5
57|3|17
57|3|13.5
57|3|14
57|9|11.5
57|9|11
57|9|8.5
57|9|6
57|1|14.7
57|1|11.2
57|1|14.4
57|1|14.1
57|1|12.2
57|1|12.8
57|1|14.2
57|1|11.6
57|1|14.7
57|8|6
57|8|5
57|8|19
57|8|5.5
57|2|9.75
57|2|8.75
57|2|12
57|2|8.5
57|2|13.25
57|2|15
57|5|14.5
57|5|14
57|5|16.9
57|5|16.5
57|10|8.6
57|10|13.1
57|10|10.6
57|10|12
57|10|9.3
57|10|9.2
57|10|5.7
57|10|9.9
57|10|8.1
57|7|11.5
57|7|7.5
57|7|12
57|4|13
57|4|12.5
57|4|14.5
57|4|13
57|4|12
71|6|8.5
71|6|9.5
71|6|6
71|3|11
71|3|11
71|3|16
71|9|0.5
71|9|3.5
71|9|11.5
71|1|13.3
71|1|18.4
71|1|13.7
71|1|8.2
71|1|19.5
71|1|9.2
71|1|11.6
71|1|15.6
71|1|13.7
71|8|8.5
71|8|10.5
71|8|6.5
71|8|12
71|2|11.75
71|2|15.5
71|2|14.25
71|2|15
71|2|15
71|2|12
71|5|15.7
71|5|14
71|5|14
71|5|15.2
71|10|7.9
71|10|4.2
71|10|8.6
71|10|10.9
71|10|8.2
71|10|8
71|10|10.4
71|10|10.2
71|10|6.6
71|7|11.5
71|7|13.5
71|7|8
71|4|11
71|4|12.5
71|4|12
71|4|12
71|4|13
100|6|11
100|6|8.5
100|6|10
100|3|11
100|3|10
100|3|14.5
100|9|11
100|9|7.5
100|9|7.5
100|9|3.5
100|1|16.5
100|1|12.7
100|1|$
100|1|15.9
100|1|13.3
100|1|9.4
100|1|14.1
100|1|7.7
100|1|10.7
100|8|6
100|8|11.5
100|8|6.5
100|8|15
100|2|15
100|2|14.75
100|2|13
100|2|14
100|2|9.25
100|2|10.5
100|5|14.4
100|5|13.1
100|5|15.2
100|5|13.3
100|10|11
100|10|6.4
100|10|12.1
100|10|7.5
100|10|8.7
100|10|2.5
100|10|10.7
100|10|9.7
100|10|6.8
100|7|11.5
100|7|8.5
100|7|10
100|4|11.5
100|4|10.5
100|4|12
100|4|12
100|4|15
148|6|8
148|6|9.5
148|6|9
148|3|12.5
148|3|11.5
148|3|11
148|9|9
148|9|9
148|9|6
148|9|8
148|1|12.7
148|1|12.5
148|1|13.9
148|1|15.2
148|1|12.6
148|1|13.4
148|1|14.1
148|1|13.3
148|8|5.5
148|8|5.5
148|8|7.5
148|8|7.5
148|2|9
148|2|13
148|2|14.75
148|2|14.75
148|2|12.75
148|2|13.25
148|5|15.2
148|5|13.8
148|5|13.3
148|5|13.5
148|10|5.4
148|10|9.9
148|10|5.1
148|10|11
148|10|8.8
148|10|7.3
148|10|8.4
148|10|7.7
148|10|10.5
148|7|10
148|7|12.5
148|7|9.5
148|4|12.5
148|4|13.5
148|4|14.5
148|4|15
153|6|10
153|6|5.5
153|6|9
153|3|13
153|3|11
153|3|16.5
153|9|8
153|9|4.5
153|9|6.5
153|9|8
153|1|11.9
153|1|13.4
153|1|12.5
153|1|13.7
153|1|13.4
153|1|20
153|1|14.1
153|1|13.1
153|1|11.7
153|8|7.5
153|8|7
153|8|4
153|8|10
153|2|15.25
153|2|13.25
153|2|13
153|2|10.5
153|2|15.5
153|2|15
153|5|15.3
153|5|14.3
153|5|13
153|5|13.5
153|10|8.1
153|10|5.2
153|10|6.4
153|10|$
153|10|10.5
153|10|9.5
153|10|6.5
153|10|12.7
153|10|5.9
153|7|13.5
153|7|11.5
153|7|10
153|4|13
153|4|13
153|4|13.5
153|4|13
153|4|13
165|6|8
165|6|8.5
165|6|8.5
165|3|10
165|3|13.5
165|3|14.5
165|9|9
165|9|12.5
165|9|8
165|9|8.5
165|1|15
165|1|11.2
165|1|13.7
165|1|12.9
165|1|19.8
165|1|14.9
165|1|13.8
165|1|10.1
165|1|13.6
165|8|11.5
165|8|10
165|8|6
165|8|12.5
165|2|14.25
165|2|12
165|2|11.75
165|2|12.5
165|2|15.25
165|2|11
165|5|14.3
165|5|13.3
165|5|13.3
165|5|14.9
165|10|11.1
165|10|12.2
165|10|7.5
165|10|10.6
165|10|10.1
165|10|10.8
165|10|6.6
165|10|11.4
165|10|11.6
165|7|11
165|7|12.5
165|7|11.5
165|4|11.5
165|4|11.5
165|4|13
165|4|13
165|4|13.5
176|6|6.5
176|6|7.5
176|6|9
176|3|11
176|3|15.5
176|3|13
176|9|9.5
176|9|4.5
176|9|10.5
176|9|6.5
176|1|13.9
176|1|12.9
176|1|13.4
176|1|15
176|1|12.9
176|1|14.6
176|1|15.5
176|1|8.6
176|1|14.9
176|8|6
176|8|5.5
176|8|7.5
176|8|8.5
176|2|10.5
176|2|13.25
176|2|11.25
176|2|12.5
176|2|12.5
176|2|11.5
176|5|12.2
176|5|13.9
176|5|13.6
176|5|14.3
176|10|9.2
176|10|7.8
176|10|9.9
176|10|9.9
176|10|9
176|10|8.8
176|10|11.3
176|10|8.4
176|10|8.3
176|7|10
176|7|11.5
176|7|10
176|4|12.5
176|4|12.5
176|4|13
176|4|12
176|4|12
179|6|8.5
179|6|10
179|6|8.5
179|3|14.5
179|3|17.5
179|3|12
179|9|8
179|9|6.5
179|9|8.5
179|9|8.5
179|1|12.2
179|1|14
179|1|14.2
179|1|12.4
179|1|12.6
179|1|14
179|1|17
179|1|15.8
179|1|12.6
179|8|4
179|8|13.5
179|8|7
179|8|7.5
179|2|$
179|2|11.5
179|2|11.75
179|2|13.75
179|2|12.75
179|2|11.75
179|5|13.2
179|5|14.9
179|5|14.9
179|5|12.7
179|10|6
179|10|9.2
179|10|8.6
179|10|4.4
179|10|9.4
179|10|8.1
179|10|9.5
179|10|8.9
179|10|6
179|7|11.5
179|7|12
179|7|8
179|4|13
179|4|14.5
179|4|11.5
179|4|13
179|4|14.5
189|6|9
189|6|8.5
189|6|9
189|3|9.5
189|3|18.5
189|3|11.5
189|9|6
189|9|7.5
189|9|2
189|1|14.5
189|1|14.9
189|1|14.5
189|1|14.6
189|1|13.7
189|1|12.9
189|1|12.9
189|1|15.4
189|1|12.2
189|8|4
189|8|11
189|8|8.5
189|8|2
189|2|12.75
189|2|9.75
189|2|12.5
189|2|15
189|2|13.25
189|2|8.75
189|5|15.7
189|5|15.6
189|5|14.6
189|5|11.7
189|10|$
189|10|9.9
189|10|8.4
189|10|6.1
189|10|6.5
189|10|$
189|10|9.1
189|10|14.1
189|10|4.5
189|7|13
189|7|11.5
189|7|12.5
189|4|13.5
189|4|10.5
189|4|12.5
189|4|11.5
189|4|12.5
198|6|8.5
198|6|10
198|6|9
198|3|14
198|3|13
198|3|16
198|9|7
198|9|13
198|9|8
198|9|10.5
198|1|14.9
198|1|15.3
198|1|13.2
198|1|9
198|1|16.2
198|1|14.9
198|1|8.3
198|1|10.9
198|1|14.5
198|8|11
198|8|7
198|8|9
198|8|7
198|2|11.75
198|2|12
198|2|13.5
198|2|12
198|2|9.5
198|2|13
198|5|13.4
198|5|16.2
198|5|13.4
198|5|13.2
198|10|10.4
198|10|8
198|10|7
198|10|10
198|10|8.3
198|10|5.9
198|10|7.5
198|10|12.3
198|10|$
198|7|11.5
198|7|12
198|7|8
198|4|13.5
198|4|12
198|4|13.5
198|4|13.5
198|4|11.5
206|6|9
206|6|7.5
206|6|9
206|3|12
206|3|11
206|3|13.5
206|9|7
206|9|6
206|9|12
206|9|13
206|1|14.8
206|1|16.9
206|1|11.7
206|1|13.1
206|1|16.9
206|1|17.6
206|1|12.5
206|1|14.7
206|1|16.5
206|8|11.5
206|8|7.5
206|8|12
206|8|14
206|2|13.25
206|2|15
206|2|14
206|2|14
206|2|13
206|2|10.5
206|5|11.5
206|5|14.5
206|5|14.7
206|5|14.7
206|10|6.7
206|10|$
206|10|9.6
206|10|7.6
206|10|9.8
206|10|10.5
206|10|8.3
206|10|11.7
206|10|10.4
206|7|11.5
206|7|8.5
206|7|10
206|4|11.5
206|4|13
206|4|13
206|4|11
208|6|6.5
208|6|9
208|6|6.5
208|3|15.5
208|3|12.5
208|3|10.5
208|9|5.5
208|9|6
208|9|6.5
208|9|7
208|1|12.9
208|1|14.8
208|1|8.9
208|1|13
208|1|15.1
208|1|14.6
208|1|12.3
208|1|14.8
208|1|14.5
208|8|5
208|8|5.5
208|8|9
208|8|5
208|2|12
208|2|10.25
208|2|11.75
208|2|13.5
208|2|12
208|2|11.25
208|5|13.5
208|5|13
208|5|13.1
208|5|12.5
208|10|4.1
208|10|11.4
208|10|12.4
208|10|8.6
208|10|6.5
208|10|11.7
208|10|6.5
208|10|8.4
208|10|8.7
208|7|9
208|7|10
208|7|11
208|4|13
208|4|13.5
208|4|11
208|4|11.5
208|4|12
228|6|7
228|6|8
228|6|9
228|3|11
228|3|12.5
228|3|10
228|9|8
228|9|11
228|9|8
228|9|9
228|1|10.7
228|1|12.7
228|1|12.5
228|1|14.5
228|1|13.1
228|1|11.5
228|1|15.1
228|1|11.6
228|1|12.3
228|8|5.5
228|8|8
228|8|14.5
228|8|9
228|2|15.25
228|2|12.5
228|2|11
228|2|12.25
228|2|13
228|2|13.5
228|5|12
228|5|15.1
228|5|12.4
228|5|15.5
228|10|17.5
228|10|9.5
228|10|13.2
228|10|12
228|10|7.5
228|10|10.3
228|10|7.7
228|10|12.6
228|10|8.7
228|7|10
228|7|11
228|7|9.5
228|4|11.5
228|4|10.5
228|4|11
228|4|16
228|4|11.5
